Y-Tunnus;Nimi;Luvan alkupvm;Olut;Viini;Hedelmäviini;Tislatut alkoholijuomat;Väkiviina;Käsityöläisoluen vähittäismyyntilupa;Tilaviinin vähittäismyyntilupa
2557656-7;Jussi Olut Oy;19.06.2014;X;;;;;X;
2561924-8;Hopping Brewsters Beer Company Oy;13.02.2014;X;;X;;;;
2561969-4;Helsingin tislaamo Oy;20.03.2014;X;;X;X;;;
2577855-6;Mathildedalin Panimo Oy;06.11.2014;X;;X;;;X;
2582370-8;Simapaja Oy;29.08.2014;X;X;X;X;;;
2582916-5;Epros Oy;24.05.2017;X;;;;;;
2585179-2;Fat Lizard Brewing Company Oy;16.12.2014;X;;X;;;X;
2587625-2;Finnviini Oy;02.07.2014;X;X;X;;;;
2602212-8;Tsökepojat Oy;10.04.2018;X;;X;;;;
2605991-6;Svartå Bryggeri Ab;15.06.2015;X;;X;;;;
2610273-4;Sinebrychoff Supply Company Oy;25.08.2014;X;X;X;X;;;
2622761-7;Werybre Oy;23.10.2014;X;;;;;;
2624362-5;Plan Beer Oy;25.02.2016;X;;X;;;X;
2625647-7;Sonnisaari panimo Oy;09.01.2015;X;;;;;X;
2627679-3;Hämeen ammatti-instituutti Oy;14.10.2015;;;X;X;;;X
2635366-4;Lillhannus, Anders Paul Mikael;09.06.2016;;;X;;;;X
2637771-1;Pihamaan Panimo Oy;31.03.2015;X;;X;;;;
2638268-4;Top Fuel Beer Company Oy;21.01.2015;X;;X;;;;
2641809-3;MiLa Brew Oy;06.03.2015;X;;X;;;X;
2647375-4;Teknologian tutkimuskeskus VTT Oy;21.08.2015;X;;;;;;
2650376-5;Salo Brewing Group Oy;27.07.2015;X;;X;;;;
2651791-3;Mustialan Kartano Oy;08.03.2016;X;;X;;;X;
2653176-6;Pedersöre Hantverksbryggeri Ab;10.12.2015;X;;X;;;;
2654199-9;Kuura Cider Oy;28.09.2016;;;X;X;;;X
2660368-6;Pohjoisen panimo Maistila Oy;26.06.2015;X;;X;;;X;
2675143-5;Lännen Lähipalvelu Osk;01.09.2017;X;;;;;;X
2683556-7;Olarin panimo Oy;19.10.2015;X;;X;;;X;
2693497-9;Mallaskuun Panimo Oy;25.02.2016;X;;;;;X;
2708164-8;katalo ja Tompuri oy;26.09.2016;X;;;;;X;
2709250-7;Panimo Honkavuori Oy;24.03.2016;X;;;;;X;
2711423-5;Ägräs Distillery Oy;18.11.2016;;;;X;;;
2712215-5;Kimito Brewing AB;04.02.2016;X;;X;;;X;
2712854-9;Panimoyhtiö TuJu oy;25.04.2016;X;;;;;;
2719486-1;Lapin Panimo Oy;28.07.2016;X;;;;;;
2726453-2;Brinkhall Sparkling Oy;12.04.2016;;;X;X;;;X
2727644-5;Soul & Soul Oy;24.05.2018;X;;;;;;
2727806-1;Rocking Bear Brewers Oy;20.05.2016;X;;;;;X;
2727931-2;NP Brewers Ab;27.04.2016;X;;;;;;
2730389-6;Mustan Virran Panimo Oy;31.03.2016;X;;;;;X;
2730886-5;Kanavan Panimo Oy;25.04.2016;X;;;;;X;
2731530-1;Marsin Panimo Oy;28.10.2016;X;;X;;;X;
2732834-8;Levin Viinikellari Oy;08.04.2016;X;;X;X;;;X
2733496-7;Someron Panimo Oy;10.03.2016;X;;X;;;;
2734201-9;Perho Liiketalousopisto Oy;29.11.2017;X;;X;;;X;
2742132-3;Open Water Brewery Ab;08.11.2016;X;;;;;X;
2745826-5;Ylikylä Olut Oy;13.07.2016;X;;;;;X;
2746988-8;Hailuodon Panimo Oy;28.04.2017;X;;;;;;
2748104-3;Ekta Bryggeri Ab;06.09.2016;;;X;;;;
2750696-8;Kaleva Brewing Company Oy;03.08.2016;X;;;;;;
2751184-7;UG Brewery Oy;13.12.2016;X;;X;;;X;
2754641-7;Taiwalkosken Panimo Oy;15.05.2017;X;;;;;;
2757199-7;Keppo Bryggeri Ab;30.06.2017;X;;;;;X;
